Asset,EntryType,Direction,ATR_Pct,Range_Pct,Volatility,ADX,Trend_Bias,Trend_Quality,RSI,Hurst,Return_20,BB_Width,WinRate,Current_State,PnlPips,Result
USDJPY,SMA,1,0.2165,0.0446,0.169783,24.69,0.1124,0.7660,57.34,0.6817,0.2408,0.6185,0.0000,100.00,31.3,1
USDJPY,SMA,1,0.2165,0.0355,0.149409,24.76,0.1347,0.7102,59.42,0.6832,0.4304,0.5442,0.0000,100.00,28.7,1
USDJPY,SMA,1,0.2095,0.1164,0.120922,24.76,0.1573,0.6562,60.64,0.6828,0.4560,0.4403,0.0000,100.00,26.5,1
USDJPY,SMA,1,0.2092,0.2234,0.117516,25.56,0.1774,0.6512,69.00,0.6734,0.4553,0.4278,0.0000,100.00,10.2,1
USDJPY,SMA,1,0.2092,0.1126,0.098852,27.65,0.2020,0.6496,69.05,0.6537,0.5195,0.3598,0.0000,100.00,9.5,1
USDJPY,SMA,1,0.2092,0.1063,0.076267,27.74,0.2199,0.6550,65.73,0.6338,0.4389,0.2775,0.0000,100.00,12.4,1
USDJPY,CH,-1,0.1862,0.1095,0.128052,28.02,0.0270,0.8838,73.47,0.9737,0.3750,0.4645,0.0000,100.00,-3.5,0
GBPUSD,CH,1,0.2624,0.1113,0.000766,27.22,0.3321,-0.2383,48.73,0.1182,-0.0836,0.2225,0.0000,100.00,-3.8,0
GBPUSD,SMA,1,0.2878,0.1630,0.002238,30.42,0.3604,0.7280,69.85,0.6739,0.8758,0.6532,0.0000,100.00,2.4,1
GBPUSD,SMA,1,0.2880,0.2381,0.001645,30.43,0.3809,0.7374,64.86,0.6356,0.7033,0.4798,0.0000,100.00,11.1,1
USDJPY,CH,1,0.1724,0.1213,0.099762,33.39,0.1573,0.7707,51.86,0.7150,0.1632,0.3612,0.0000,100.00,-19.3,0
USDJPY,CH,1,0.1725,0.1069,0.089566,31.53,0.1613,0.5952,48.23,0.7166,0.1288,0.3243,0.0000,100.00,-14.9,0
USDJPY,CH,1,0.1726,0.0779,0.080699,31.07,0.1635,0.3118,44.71,0.7184,0.0843,0.2922,0.0000,100.00,-10.4,0
